"cluster","major_celltype"
"0","CD4 T cells"
"1","CD8 T cells"
"2","B lineage"
"3","CD8 T cells"
"4","Macrophages"
"5","Macrophages"
"6","Monocytes"
"7","Tumor secretory/mucinous"
"8","Fibroblasts"
"9","CD4 T cells"
"10","Lung epithelial"
"11","Mast cells"
"12","Tumor hypoxic/remodeling"
"13","Tumor basal/proliferative"
"14","Dendritic cells"
"15","Other"
"16","B lineage"
"17","Endothelial cells"
"18","Dendritic cells"
"19","Tumor secretory/mucinous"
"20","Tumor basal/proliferative"
"21","CD8 T cells"
"22","Tumor hypoxic/remodeling"
"23","Tumor basal/proliferative"
"24","Tumor secretory/mucinous"
"25","Other"
"26","Tumor secretory/mucinous"
"27","Macrophages"
"28","Lung epithelial"
"29","CD4 T cells"
